Order_Date,Region,Sub_Category,Sales,Profit
2016-11-08,South,Bookcases,261.9600,41.9136
2016-11-08,South,Chairs,731.9400,219.5820
2016-06-12,West,Labels,14.6200,6.8714
2015-10-11,South,Tables,957.5775,-383.0310
2015-10-11,South,Storage,22.3680,2.5164
2014-06-09,West,Furnishings,48.8600,14.1694
2014-06-09,West,Art,7.2800,1.9656
2014-06-09,West,Phones,907.1520,90.7152
2014-06-09,West,Binders,18.5040,5.7825
2014-06-09,West,Appliances,114.9000,34.4700
2014-06-09,West,Tables,1706.1840,85.3092
2014-06-09,West,Phones,911.4240,68.3568
2017-04-15,South,Paper,15.5520,5.4432
2016-12-05,West,Binders,407.9760,132.5922
2015-11-22,Central,Appliances,68.8100,-123.8580
2015-11-22,Central,Binders,2.5440,-3.8160
2014-11-11,Central,Storage,665.8800,13.3176
2014-05-13,West,Storage,55.5000,9.9900
2014-08-27,West,Art,8.5600,2.4824
2014-08-27,West,Phones,213.4800,16.0110
2014-08-27,West,Binders,22.7200,7.3840
2016-12-09,Central,Art,19.4600,5.0596
2016-12-09,Central,Appliances,60.3400,15.6884
2017-07-16,East,Chairs,71.3720,-1.0196
2015-09-25,West,Tables,1044.6300,240.2649
2016-01-16,West,Binders,11.6480,4.2224
2016-01-16,West,Accessories,90.5700,11.7741
2015-09-17,East,Bookcases,3083.4300,-1665.0522
2015-09-17,East,Binders,9.6180,-7.0532
2015-09-17,East,Furnishings,124.2000,15.5250
2015-09-17,East,Envelopes,3.2640,1.1016
2015-09-17,East,Art,86.3040,9.7092
2015-09-17,East,Binders,6.8580,-5.7150
2015-09-17,East,Art,15.7600,3.5460
2017-10-19,Central,Paper,29.4720,9.9468
2016-12-08,Central,Phones,1097.5440,123.4737
2016-12-08,Central,Furnishings,190.9200,-147.9630
2015-12-27,Central,Envelopes,113.3280,35.4150
2015-12-27,Central,Bookcases,532.3992,-46.9764
2015-12-27,Central,Chairs,212.0580,-15.1470
2015-12-27,Central,Phones,371.1680,41.7564
2017-09-10,Central,Phones,147.1680,16.5564
2016-07-17,West,Storage,77.8800,3.8940
2017-09-19,South,Storage,95.6160,9.5616
2016-03-11,Central,Accessories,45.9800,19.7714
2016-03-11,Central,Binders,17.4600,8.2062
2014-10-20,Central,Storage,211.9600,8.4784
2016-06-20,East,Accessories,45.0000,4.9500
2016-06-20,East,Phones,21.8000,6.1040
2015-04-18,Central,Binders,38.2200,17.9634
2015-04-18,Central,Labels,75.1800,35.3346
2015-04-18,Central,Furnishings,6.1600,2.9568
2015-04-18,Central,Chairs,89.9900,17.0981
2016-12-11,East,Fasteners,15.2600,6.2566
2016-12-11,East,Phones,1029.9500,298.6855
2016-06-17,East,Storage,208.5600,52.1400
2016-06-17,East,Paper,32.4000,15.5520
2016-06-17,East,Chairs,319.4100,7.0980
2016-06-17,East,Paper,14.5600,6.9888
2016-06-17,East,Accessories,30.0000,3.3000
2016-06-17,East,Binders,48.4800,16.3620
2016-06-17,East,Art,1.6800,0.8400
2015-11-24,West,Accessories,13.9800,6.1512
2015-11-24,West,Binders,25.8240,9.3612
2015-11-24,West,Paper,146.7300,68.9631
2015-11-24,West,Furnishings,79.7600,22.3328
2015-04-30,Central,Chairs,213.1150,-15.2225
2014-12-05,West,Art,1113.0240,111.3024
2014-12-05,West,Phones,167.9680,62.9880
2016-06-04,South,Paper,75.8800,35.6636
2016-09-18,East,Binders,4.6160,1.7310
2017-09-14,Central,Paper,19.0500,8.7630
2015-04-26,South,Chairs,831.9360,-114.3912
2015-04-26,South,Furnishings,97.0400,1.2130
2015-04-26,South,Storage,72.7840,-18.1960
2017-12-09,Central,Binders,1.2480,-1.9344
2017-12-09,Central,Furnishings,9.7080,-5.8248
2017-12-09,Central,Storage,27.2400,2.7240
2014-11-26,Central,Furnishings,19.3000,-14.4750
2016-06-12,South,Appliances,208.1600,56.2032
2016-06-12,South,Binders,16.7400,8.0352
2014-10-12,West,Art,14.9000,4.1720
2014-10-12,West,Storage,21.3900,6.2031
2015-09-03,South,Envelopes,200.9840,62.8075
2017-11-13,Central,Storage,230.3760,-48.9549
2017-05-28,South,Chairs,301.9600,33.2156
2017-10-26,Central,Accessories,19.9900,6.7966
2017-10-26,Central,Labels,6.1600,2.9568
2016-04-05,Central,Storage,158.3680,13.8572
2016-09-17,West,Art,20.1000,6.6330
2016-09-17,West,Phones,73.5840,8.2782
2016-09-17,West,Paper,6.4800,3.1104
2015-01-31,Central,Paper,12.9600,6.2208
2015-01-31,Central,Furnishings,53.3400,16.5354
2015-01-31,Central,Binders,32.9600,16.1504
2017-11-06,West,Binders,5.6820,-3.7880
2017-11-09,East,Furnishings,96.5300,40.5426
2017-06-17,West,Binders,51.3120,17.9592
2016-09-06,Central,Appliances,77.8800,22.5852
2016-08-29,Central,Paper,64.6240,22.6184
2016-08-29,Central,Accessories,95.9760,-10.7973
2016-08-29,Central,Binders,1.7880,-3.0396
2016-12-01,Central,Paper,23.9200,11.7208
2015-11-13,West,Accessories,238.8960,-26.8758
2015-11-13,West,Furnishings,102.3600,-3.8385
2015-11-13,West,Binders,36.8820,-25.8174
2017-11-23,South,Accessories,74.1120,17.6016
2017-11-23,South,Phones,27.9920,2.0994
2017-11-23,South,Art,3.3040,1.0738
2015-10-15,Central,Accessories,339.9600,67.9920
2017-12-25,East,Furnishings,41.9600,10.9096
2016-11-03,Central,Art,75.9600,22.7880
2016-11-03,Central,Binders,27.2400,13.3476
2014-08-25,East,Fasteners,40.0960,14.5348
2014-08-25,East,Envelopes,4.7200,1.6520
2014-08-25,East,Paper,23.9760,7.4925
2014-08-25,East,Envelopes,130.4640,44.0316
2015-03-02,West,Tables,787.5300,165.3813
2015-04-05,South,Binders,157.7940,-115.7156
2016-06-12,East,Furnishings,47.0400,18.3456
2016-06-12,East,Binders,30.8400,13.8780
2016-06-12,East,Storage,226.5600,63.4368
2016-06-12,East,Envelopes,115.0200,51.7590
2016-06-12,East,Phones,68.0400,19.7316
2014-12-26,Central,Chairs,600.5580,-8.5794
2014-09-20,Central,Tables,617.7000,-407.6820
2017-11-05,West,Binders,2.3880,-1.8308
2017-11-05,West,Storage,243.9920,30.4990
2016-11-06,West,Chairs,81.4240,-9.1602
2016-11-06,West,Furnishings,238.5600,26.2416
2017-02-02,East,Phones,59.9700,-11.9940
2017-02-02,East,Paper,78.3040,29.3640
2017-02-02,East,Fasteners,21.4560,6.9732
2016-10-13,West,Paper,20.0400,9.6192
2016-10-13,West,Paper,35.4400,16.6568
2016-10-13,West,Art,11.5200,3.4560
2016-10-13,West,Fasteners,4.0200,1.9698
2016-10-13,West,Binders,76.1760,26.6616
2016-10-13,West,Supplies,65.8800,18.4464
2016-10-13,West,Furnishings,43.1200,20.6976
2016-09-05,East,Furnishings,82.8000,10.3500
2017-09-18,West,Art,8.8200,2.3814
2017-09-18,West,Envelopes,10.8600,5.1042
2017-09-18,West,Paper,143.7000,68.9760
2017-12-22,Central,Appliances,839.4300,218.2518
2015-09-07,West,Storage,671.9300,20.1579
2014-10-22,East,Furnishings,93.8880,12.9096
2016-12-05,Central,Phones,384.4500,103.8015
2016-12-05,Central,Phones,149.9700,5.9988
2016-12-05,Central,Chairs,1951.8400,585.5520
2016-12-05,Central,Binders,171.5500,80.6285
2016-03-13,West,Appliances,157.9200,17.7660
2016-03-13,West,Phones,203.1840,15.2388
2015-05-31,West,Paper,58.3800,26.2710
2015-05-31,West,Paper,105.5200,48.5392
2015-05-31,West,Storage,80.8800,21.0288
